Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2025-05-21 15:56:15;"Afternoon Workout";"Bicep Curl (Barbell)";1;10;kg;8;;;;0;"";"";53m
2025-05-21 15:56:15;"Afternoon Workout";"Bicep Curl (Barbell)";2;10;kg;8;;;;0;;;53m
2025-05-21 15:56:15;"Afternoon Workout";"Bicep Curl (Barbell)";3;10;kg;5;;;;0;;;53m
2025-05-21 15:56:15;"Afternoon Workout";"Bicep Curl (Barbell)";4;10;kg;3;;;;0;;;53m
2025-05-21 15:56:15;"Afternoon Workout";"Concentration Curl (Dumbbell)";1;5;kg;10;;;;0;"";;53m
2025-05-21 15:56:15;"Afternoon Workout";"Concentration Curl (Dumbbell)";2;5;kg;7;;;;0;;;53m
2025-05-21 15:56:15;"Afternoon Workout";"Concentration Curl (Dumbbell)";3;5;kg;8;;;;0;;;53m
2025-05-21 15:56:15;"Afternoon Workout";"Concentration Curl (Dumbbell)";4;5;kg;7;;;;0;;;53m
2025-05-21 15:56:15;"Afternoon Workout";"Hammer Curl (Dumbbell)";1;5;kg;8;;;;0;"";;53m
2025-05-21 15:56:15;"Afternoon Workout";"Hammer Curl (Dumbbell)";2;5;kg;5;;;;0;;;53m
2025-05-21 15:56:15;"Afternoon Workout";"Triceps Pushdown (Cable - Straight Bar)";1;36;kg;10;;;;0;"";;53m
2025-05-21 15:56:15;"Afternoon Workout";"Triceps Pushdown (Cable - Straight Bar)";2;36;kg;10;;;;0;;;53m
2025-05-21 15:56:15;"Afternoon Workout";"Triceps Pushdown (Cable - Straight Bar)";3;36;kg;7;;;;0;;;53m
2025-05-21 15:56:15;"Afternoon Workout";"Triceps Pushdown (Cable - Straight Bar)";4;36;kg;6;;;;0;;;53m
2025-05-21 15:56:15;"Afternoon Workout";"Crunch (Machine)";1;23;kg;10;;;;0;"";;53m
2025-05-21 15:56:15;"Afternoon Workout";"Crunch (Machine)";2;37;kg;10;;;;0;;;53m
2025-05-21 15:56:15;"Afternoon Workout";"Crunch (Machine)";3;50;kg;10;;;;0;;;53m
2025-05-21 15:56:15;"Afternoon Workout";"Crunch (Machine)";4;50;kg;10;;;;0;;;53m
2025-05-23 11:10:58;"Midday Workout";"vertical row";1;18;kg;10;;;;0;"";"";54m
2025-05-23 11:10:58;"Midday Workout";"vertical row";2;23;kg;10;;;;0;;;54m
2025-05-23 11:10:58;"Midday Workout";"vertical row";3;30;kg;10;;;;0;;;54m
2025-05-23 11:10:58;"Midday Workout";"vertical row";4;36;kg;10;;;;0;;;54m
2025-05-23 11:10:58;"Midday Workout";"Lat Pulldown (Cable)";1;25;kg;10;;;;0;"";;54m
2025-05-23 11:10:58;"Midday Workout";"Lat Pulldown (Cable)";2;30;kg;10;;;;0;;;54m
2025-05-23 11:10:58;"Midday Workout";"Lat Pulldown (Cable)";3;35;kg;10;;;;0;;;54m
2025-05-23 11:10:58;"Midday Workout";"Lat Pulldown (Cable)";4;55;kg;6;;;;0;;;54m
